шестерка_NOUN,
киргизия_NOUN,название
кнс_PROPN,название
счесть_VERB,
реалистичность_NOUN,
вербальный_ADJ,
боржоми_PROPN,название
раздел_VERB,название
северсталья_PROPN,
переговорщика_NOUN,
полноценно_ADV,
поспешность_NOUN,
трудящийся_VERB,
единый_PROPN,
статусный_ADJ,
общественник_NOUN,
ду_PROPN,название
соообщать_VERB,
активно_ADJ,
авиатранспорт_NOUN,
айдамиров_PROPN,фамилия
губернаторство_NOUN,
урбанизация_NOUN,
занятый_VERB,
подобающий_ADJ,
сокращенный_VERB,
неоправдать_ADJ,
существовать_NOUN,
пропорциональной_ADJ,
инспектирование_NOUN,
требовать_NOUN,
ялтинский_ADJ,название
оговорять_VERB,
голодающий_VERB,
маятник_NOUN,
безотлагательно_ADV,
лесничество_NOUN,
организовать_ADJ,
марша_PROPN,ошибка
представленье_NOUN,
системно_ADV,
подтверждать_ADJ,
ситуация_PROPN,
охотник_PROPN,
въездин_ADJ,ошибка
скорейать_ADJ,
аналогично_ADV,
обосновать_ADJ,
индустриализация_NOUN,
стотысячный_ADJ,
,
