березовский_PROPN,фамилия,,
минский_ADJ,название,политика,
явлинский_PROPN,фамилия,,
мост_PROPN,ошибка,,
киевский_ADJ,название,политика,
чиновник_PROPN,название,политика,
кейс_NOUN,,значение,
причем_ADV,,контекст,
аграрий_NOUN,,контекст,
тишина_NOUN,,значение,"была матросская и обычная, сейчас часто военная"
гор_PROPN,ошибка,,
киев_PROPN,название,политика,
аналогично_ADV,,контекст,
гора_PROPN,ошибка,,
миссия_PROPN,название,,
вынудить_VERB,,контекст,
анонсировать_VERB,,контекст,
включать_ADV,,контекст,
многократно_ADV,,контекст,
марат_PROPN,название,,
ведать_VERB,ошибка,"",
пакета_NOUN,ошибка,,
р_PROPN,ошибка,,
захаров_PROPN,фамилия,,
подгруппа_NOUN,,контекст+военная,
вылиться_VERB,,значение,"было чаще прямое, теперь переносное"
слово_PROPN,ошибка,,
британия_PROPN,название,политика,
потолок_NOUN,,значение,
джо_PROPN,фамилия,политика,
надлежать_VERB,,контекст,
ежедневный_ADJ,,контекст,
балканский_ADJ,название,политика,
сводка_NOUN,,контекст,
ряд_PROPN,название,,
донецкий_ADJ,название,политика,
статья_PROPN,ошибка,,
мобилизация_NOUN,,значение+военная,
отправить_VERB,,контекст,
нефтяник_NOUN,,контекст,
хельсинки_PROPN,название,,
чернобыль_PROPN,название,,
анонимность_NOUN,,контекст,
госслужащий_NOUN,,контекст+политика,
многолетний_ADJ,,контекст,
учетный_ADJ,,контекст,
массированный_ADJ,,контекст,
безвозмездно_ADV,,контекст,
украинский_ADJ,название,политика,
кондратьев_PROPN,фамилия,политика,
непрерывно_ADV,,контекст,
касьянов_PROPN,фамилия,политика,
нейтральный_ADJ,,контекст,
положение_PROPN,ошибка,,
апл_NOUN,название,,
вид_PROPN,название,,
нато_NOUN,название,политика,
невыполнимый_ADJ,,контекст,
разграничение_NOUN,,контекст,
участь_NOUN,,контекст,
легально_ADV,,контекст,
радио_PROPN,ошибка,,
гринспен_PROPN,название,,
гарант_NOUN,,контекст,
подробно_ADV,,контекст,
орт_PROPN,название,,
дружба_PROPN,ошибка,,
уверение_NOUN,,контекст,
анкета_NOUN,,контекст,
усиленно_ADV,,контекст,
телефонный_ADJ,,контекст,
обратить_VERB,,контекст,
начало_VERB,ошибка,,
венгерский_ADJ,название,,
истратить_VERB,,контекст,
систематический_ADJ,,контекст,
страна_PROPN,название,,
толстой_PROPN,фамилия,,
нарастать_VERB,,контекст,
попытка_PROPN,ошибка,,
эпидемический_ADJ,,контекст+медицинский,
деятельность_PROPN,ошибка,,
торг_NOUN,,контекст,
миновать_VERB,,контекст,
заверение_NOUN,,контекст,
турецкий_ADJ,название,,
словацкий_ADJ,название,,
продвигать_VERB,,контекст,
обозначить_VERB,,контекст,
оборонительный_ADJ,,контекст+военная,
никитин_PROPN,фамилия,,
расширяться_VERB,,контекст,
объективно_ADV,,контекст,
видео_NOUN,,контекст,
сторона_PROPN,ошибка,,
проблемный_ADJ,,контекст,
неоправданный_ADJ,,контекст,
открывать_ADJ,,контекст,
пояснение_NOUN,,контекст,
миллионный_ADJ,,контекст,
